kind,id,title,views,updated,primary_job,primary_subjob,secondary,stages,content_type,outdated,outdated_reason,why,url
post,4588123,News Article: Montevideo takes on the challenge of providing quality child care as Montessori school looks to expand,12,2022-02-22,Archive,Wildflower in the news,,discovery; visioning; planning; startup; open,news,False,,"May 2021 news profile of Wildwood Montessori’s expansion and child care efforts in Montevideo, Minnesota.",https://connected.wildflowerschools.org/posts/4588123-news-article-montevideo-takes-on-the-challenge-of-providing-quality-child-care-
post,4652256,Article: Kid-tracking sensors may not be the wildest thing about this Montessori model,12,2022-03-31,Archive,Wildflower in the news,The principles and purpose,discovery; visioning,news,False,,2018 EdSurge article covering Wildflower’s Montessori model and observation technology project.,https://connected.wildflowerschools.org/posts/4652256-article-kid-tracking-sensors-may-not-be-the-wildest-thing-about-this-montessori
post,4588146,News Article: Royce-Diop ’07 a champion for racial equity in education,9,2022-02-22,Archive,Wildflower in the news,"Liberation, equity, and anti-bias work",open,news,True,This is a dated February 2021 news profile and is preserved as an archived press item.,News profile of Wildflower partner Brandon Royce-Diop focused on racial equity in education.,https://connected.wildflowerschools.org/posts/4588146-news-article-royce-diop-07-a-champion-for-racial-equity-in-education
post,4652229,Article: The Montessori schools embracing kid-tracking devices,9,2022-03-30,Archive,Wildflower in the news,,discovery; visioning; planning; startup; open,news,False,,Quartz profile about Wildflower’s Montessori sensor research and its potential classroom applications.,https://connected.wildflowerschools.org/posts/4652229-article-the-montessori-schools-embracing-kid-tracking-devices
post,4588104,News Article: Snowdrop Montessori School opens in Gerson Building,8,2022-02-22,Archive,Wildflower in the news,,discovery; visioning; planning; startup; open,news,False,,"News coverage of Snowdrop Montessori School opening in Haverhill, Massachusetts.",https://connected.wildflowerschools.org/posts/4588104-news-article-snowdrop-montessori-school-opens-in-gerson-building
post,4588151,Podcast: Interview with Cosmos TL Veronica Vital on the Class Disrupted Podcast,6,2022-02-22,Archive,Wildflower in the news,,discovery; visioning; planning; startup; open,news,False,,Podcast interview featuring a Wildflower teacher leader and school experience.,https://connected.wildflowerschools.org/posts/4588151-podcast-interview-with-cosmos-tl-veronica-vital-on-the-class-disrupted-podcast
post,4652217,Article: Schools are collecting new data in new ways about students with cutting-edge high tech,6,2022-03-30,Archive,Wildflower in the news,Transparent Classroom,open,news,False,,News article covering Wildflower’s use of sensor technology to observe students.,https://connected.wildflowerschools.org/posts/4652217-article-schools-are-collecting-new-data-in-new-ways-about-students-with-cutting
post,4652212,Article: 5 Top Takeaways from Catalyzing Connections: Promise Venture's Latest Entrepreneur Showcase,6,2022-03-30,Archive,Wildflower in the news,,discovery; visioning; planning; startup; open,news,False,,News article highlighting Wildflower in an early childhood education showcase.,https://connected.wildflowerschools.org/posts/4652212-article-5-top-takeaways-from-catalyzing-connections-promise-venture-s-latest-en
post,4652192,The Child Care Crisis: Innovations to the Rescue,6,2022-03-30,Archive,Wildflower in the news,,discovery; visioning; planning; startup; open,news,False,,News article highlighting Wildflower among innovative childcare models.,https://connected.wildflowerschools.org/posts/4652192-the-child-care-crisis-innovations-to-the-rescue
post,4652241,Article: School Disruption on the Small Scale,6,2022-03-31,Archive,Wildflower in the news,The principles and purpose,discovery; visioning,news,False,,"News article examining Wildflower’s microschool model, impact, and potential to scale.",https://connected.wildflowerschools.org/posts/4652241-article-school-disruption-on-the-small-scale
post,4433938,Wildflower Ways of Working,48,2021-08-27,Archive,"Past gatherings, session notes, and dated reports",Self-management learning series; The advice process,discovery; visioning; planning; startup; open,training,True,Recording and materials from a 2020 Emerging Teacher Leader gathering are a dated past session.,Recording and presentation on decision-making and ways of working in Wildflower schools.,https://connected.wildflowerschools.org/posts/4433938-wildflower-ways-of-working
post,4499293,Wildflower Seedlings: Class of 2020-2021,23,2022-01-13,Archive,"Past gatherings, session notes, and dated reports",,open,other,True,A yearbook documenting the past 2020–2021 school year.,Yearbook documenting the Wildflower Seedlings class of 2020–2021.,https://connected.wildflowerschools.org/posts/4499293-wildflower-seedlings-class-of-2020-2021
post,5037983,Board Accountabilities Tracker (Worksheet),93,2023-04-18,Build and run your board,"Board health, reflection, and training","Meetings: agendas, minutes, notice, first four meetings; Board policies (conflict of interest, nepotism, whistleblower, retention)",planning; startup; open,template,False,,"Worksheet for tracking board member accountabilities, officer roles, and responsibilities.",https://connected.wildflowerschools.org/posts/5037983-board-accountabilities-tracker-worksheet
post,4595154,Minnesota Wildflower Montessori School (MWMS): Board Training,81,2022-02-22,Build and run your board,"Board health, reflection, and training",Charter-specific compliance,planning; startup; open,training,False,,Overview of required Minnesota charter board training and Wildflower board orientation.,https://connected.wildflowerschools.org/posts/4595154-minnesota-wildflower-montessori-school-mwms-board-training
post,4813554,Month 1: Wildflower Charter Board Mini-Series,55,2022-09-21,Build and run your board,"Board health, reflection, and training",Charter-specific compliance; Using Connected and Slack,discovery; planning; open,training,False,,"Monthly training series introducing Wildflower charter boards to board development, Connected, and discovery-phase work.",https://connected.wildflowerschools.org/posts/4813554-month-1-wildflower-charter-board-mini-series
post,5643036,Board Reflection: How we worked as a board,42,2025-06-22,Build and run your board,"Board health, reflection, and training","Meetings: agendas, minutes, notice, first four meetings",open,template,False,,Annual reflection tool for a board to assess and improve its practices.,https://connected.wildflowerschools.org/posts/5643036-board-reflection-how-we-worked-as-a-board
post,4813542,Connecting Communities: Wildflower Charter Board Mini-Series,41,2022-09-21,Build and run your board,"Board health, reflection, and training",Network membership and what the Foundation does; Charter-specific compliance,planning; startup; open,training,False,,Self-guided training for charter board members on Wildflower’s network and the emerging teacher leader experience.,https://connected.wildflowerschools.org/posts/4813542-connecting-communities-wildflower-charter-board-mini-series
post,5643034,Board Reflection: Annual Alignment and Planning Exercise,31,2025-09-02,Build and run your board,"Board health, reflection, and training",The principles and purpose; Building and using your budget,open,template,False,,"Annual board reflection tool for aligning school purpose, growth priorities, and investments.",https://connected.wildflowerschools.org/posts/5643034-board-reflection-annual-alignment-and-planning-exercise
post,5920961,"Board Reflection Questions - Mission Clarity, Business Planning and Agenda Design",25,2026-01-15,Build and run your board,"Board health, reflection, and training","Meetings: agendas, minutes, notice, first four meetings; Building and using your budget",open,training,False,,"Reflection questions help boards assess mission alignment, sustainability, and the quality of their meetings.",https://connected.wildflowerschools.org/posts/5920961-board-reflection-questions-mission-clarity-business-planning-and-agenda-design
post,5914311,Healthy School Boards - Webinars,24,2026-01-15,Build and run your board,"Board health, reflection, and training","Meetings: agendas, minutes, notice, first four meetings",open,training,False,,"Slide decks and webinars on healthy school board indicators, culture, mission clarity, governance, and accountability.",https://connected.wildflowerschools.org/posts/5914311-healthy-school-boards-webinars
post,5920969,Mission Clarity Worksheet,22,2026-01-15,Build and run your board,"Board health, reflection, and training","Meetings: agendas, minutes, notice, first four meetings; The principles and purpose",planning; open,template,False,,Worksheet and facilitation guide for an annual or onboarding board mission-clarity discussion.,https://connected.wildflowerschools.org/posts/5920969-mission-clarity-worksheet
post,5643031,Board Reflection: Financial Operations and Board Governance Practices for Independent School ,18,2025-09-02,Build and run your board,"Board health, reflection, and training","Fiscal policies, audits, and the 990; Bookkeeping, QuickBooks, and chart of accounts",planning; startup; open,template,False,,Reflection tool for strengthening board governance and financial operations practices.,https://connected.wildflowerschools.org/posts/5643031-board-reflection-financial-operations-and-board-governance-practices-for-indepe
post,4463738,Minnesota Wildflower Montessori School (MWMS): Board Secretary Role Guidance,17,2022-02-22,Build and run your board,"Board health, reflection, and training","Board basics and recruiting members; Meetings: agendas, minutes, notice, first four meetings",planning; open,guide,False,,Guidance describing responsibilities and expectations for a nonprofit board secretary role.,https://connected.wildflowerschools.org/posts/4463738-minnesota-wildflower-montessori-school-mwms-board-secretary-role-guidance
post,5896544,Healthy Board Indicator 1 - Self Assessment - Board Culture and Composition,13,2025-11-19,Build and run your board,"Board health, reflection, and training",Board basics and recruiting members,open,template,False,,Annual board self-assessment focused on board culture and composition.,https://connected.wildflowerschools.org/posts/5896544-healthy-board-indicator-1-self-assessment-board-culture-and-composition
post,4528508,An Introduction to School Boards,772,2025-01-08,Build and run your board,Board basics and recruiting members,"Board health, reflection, and training; The principles and purpose",discovery; visioning; planning; startup; open,guide,False,,"Overview of board purpose, legal duties, common actions, and recruiting board members.",https://connected.wildflowerschools.org/posts/4528508-an-introduction-to-school-boards
post,4672215,"School Board Resources, Getting Started",561,2022-08-09,Build and run your board,Board basics and recruiting members,"Meetings: agendas, minutes, notice, first four meetings; Board resolutions library",planning; open,guide,False,,"Starting guide that points new board members to introductions, meeting tools, resolutions, and policies.",https://connected.wildflowerschools.org/posts/4672215-school-board-resources-getting-started
post,4677422,Role of the Board Member Sample,273,2022-07-16,Build and run your board,Board basics and recruiting members,"Board policies (conflict of interest, nepotism, whistleblower, retention); Roles and responsibilities",planning; open,template,False,,"Editable sample defining board member duties, responsibilities, and accountabilities.",https://connected.wildflowerschools.org/posts/4677422-role-of-the-board-member-sample
post,4694578,School Board Skills Matrix,119,2022-05-11,Build and run your board,Board basics and recruiting members,"Board health, reflection, and training",planning; startup; open,template,False,,Template for assessing current board skills and identifying recruiting gaps.,https://connected.wildflowerschools.org/posts/4694578-school-board-skills-matrix
post,4677395,Talking Points: Discussion with a Potential Board Member,102,2022-04-27,Build and run your board,Board basics and recruiting members,"Board health, reflection, and training; Network Membership and charter affiliation agreements",visioning; planning; startup,template,False,,Talking-point outline for introducing the school and recruiting a prospective board member.,https://connected.wildflowerschools.org/posts/4677395-talking-points-discussion-with-a-potential-board-member
post,4958232,Una introducción a las juntas escolares,92,2023-02-03,Build and run your board,Board basics and recruiting members,"Board health, reflection, and training; The principles and purpose",planning; startup; open,guide,False,,"Introducción a la función legal de la junta, sus responsabilidades y cómo seleccionar y acercarse a sus miembros.",https://connected.wildflowerschools.org/posts/4958232-una-introduccion-a-las-juntas-escolares
post,4693482,Board Member Bio Request Sample,79,2022-05-10,Build and run your board,Board basics and recruiting members,"Board policies (conflict of interest, nepotism, whistleblower, retention)",planning; startup; open,template,False,,Sample form for collecting board member biographies for transparent nonprofit governance.,https://connected.wildflowerschools.org/posts/4693482-board-member-bio-request-sample
post,5896552,Board Member Interview Questions and Scoring Rubric,45,2025-11-19,Build and run your board,Board basics and recruiting members,"Board health, reflection, and training",planning; open,template,False,,Interview questions and a scoring rubric for recruiting and evaluating prospective board members.,https://connected.wildflowerschools.org/posts/5896552-board-member-interview-questions-and-scoring-rubric
post,4556767,"Introduction to Board Governance for Wildflower Teacher Leaders Webinar, Fall 2021",24,2022-02-22,Build and run your board,Board basics and recruiting members,"Meetings: agendas, minutes, notice, first four meetings",planning; startup; open,training,True,Recorded webinar from Fall 2021 is a dated training resource that may no longer reflect current board guidance.,Recorded training introducing board governance and hub meetings for teacher leaders.,https://connected.wildflowerschools.org/posts/4556767-introduction-to-board-governance-for-wildflower-teacher-leaders-webinar-fall-20
post,4732858,Outline for First Four Board Meetings for a Wildflower School,588,2024-02-06,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings",Board basics and recruiting members; Network Membership and charter affiliation agreements,planning; startup,template,False,,Sample agendas and governance content for a new school’s first four board meetings.,https://connected.wildflowerschools.org/posts/4732858-outline-for-first-four-board-meetings-for-a-wildflower-school
post,4651955,Introduction to Holding School Board Meetings,386,2023-11-21,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings",Board basics and recruiting members,planning; startup; open,guide,False,,"Guide to board meeting frequency, officer roles, best practices, and sample agendas.",https://connected.wildflowerschools.org/posts/4651955-introduction-to-holding-school-board-meetings
post,4545411,Board Meeting Agenda Template,254,2022-04-21,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings",Board basics and recruiting members,planning; startup; open,template,False,,"Sample board meeting agenda with preparation steps, roles, and responsibilities.",https://connected.wildflowerschools.org/posts/4545411-board-meeting-agenda-template
post,4545401,Annual Board Meeting Topics Planner,172,2022-05-10,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings","Board health, reflection, and training",planning; open,template,False,,One-page planner for setting recurring board meeting topics and maintaining board engagement.,https://connected.wildflowerschools.org/posts/4545401-annual-board-meeting-topics-planner
post,4732887,School Board Meeting Minutes Tips,154,2022-06-21,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings",,planning; open,guide,False,,Tips for preparing clear and compliant school board meeting minutes.,https://connected.wildflowerschools.org/posts/4732887-school-board-meeting-minutes-tips
post,5920957,Designing your Board Agenda,85,2026-01-15,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings","Board health, reflection, and training",planning; open,guide,False,,Guidance for designing mission-aligned board meeting agendas and strategic conversations.,https://connected.wildflowerschools.org/posts/5920957-designing-your-board-agenda
post,4778622,Providing Notice for Board Meetings,65,2022-08-12,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings",Board basics and recruiting members,planning; startup; open,guide,False,,Guidance on notifying board members about upcoming meetings and meeting notice requirements.,https://connected.wildflowerschools.org/posts/4778622-providing-notice-for-board-meetings
post,4925436,Ejemplos de Correos Electrónicos para las Primeras Reuniones de la Junta,64,2023-01-19,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings",,planning; startup,template,False,,Plantillas de correos para convocar las primeras cuatro reuniones de la junta.,https://connected.wildflowerschools.org/posts/4925436-ejemplos-de-correos-electronicos-para-las-primeras-reuniones-de-la-junta
post,4921456,Esquema para las primeras cuatro reuniones de la junta directiva de una escuela Wildflower,58,2023-01-17,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings",501c3 status and the group exemption; Network Membership and charter affiliation agreements,planning,template,False,,Esquema de ejemplo para organizar las primeras cuatro reuniones de la junta directiva.,https://connected.wildflowerschools.org/posts/4921456-esquema-para-las-primeras-cuatro-reuniones-de-la-junta-directiva-de-una-escuela
post,4545432,Board Governance FAQs,54,2021-12-07,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings","Board resolutions library; Board policies (conflict of interest, nepotism, whistleblower, retention)",planning; startup; open,guide,False,,"FAQ covering board minutes, resolutions, policies, and ongoing governance practices.",https://connected.wildflowerschools.org/posts/4545432-board-governance-faqs
post,4925452,Folleto de la Junta - Descripción General de las Primeras Cuatro Reuniones de la Junta ,53,2023-01-19,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings",,planning; startup; open,guide,False,,Guía en español sobre el propósito y trabajo de las primeras cuatro reuniones de la junta.,https://connected.wildflowerschools.org/posts/4925452-folleto-de-la-junta-descripcion-general-de-las-primeras-cuatro-reuniones-de-la-
post,4545457,Board Governance: Practicing Objections,52,2021-12-07,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings","Board health, reflection, and training; Charter-specific compliance",planning; startup; open,training,False,,Training document for charter boards on practicing and processing objections in governance.,https://connected.wildflowerschools.org/posts/4545457-board-governance-practicing-objections
post,5920843,Board Agenda - Using Consent Agenda Items,50,2026-01-15,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings","Board health, reflection, and training",planning; startup; open,guide,False,,Guide to using consent agendas to streamline board meetings and preserve time for strategic decisions.,https://connected.wildflowerschools.org/posts/5920843-board-agenda-using-consent-agenda-items
post,4925430,Agenda Templatizado Para Reuniones de la Junta,42,2023-01-19,Build and run your board,"Meetings: agendas, minutes, notice, first four meetings",,planning; startup; open,template,False,,Plantilla en español para planificar las reuniones de la junta directiva.,https://connected.wildflowerschools.org/posts/4925430-agenda-templatizado-para-reuniones-de-la-junta
post,4771370,Template Nepotism Policy and Guidelines,428,2023-02-15,Build and run your board,"Board policies (conflict of interest, nepotism, whistleblower, retention)","Bylaws, EIN, bank account, insurance; Employee handbooks and HR policies",planning; startup; open,template,False,,Template policy for preventing favoritism and managing conflicts when relatives work together.,https://connected.wildflowerschools.org/posts/4771370-template-nepotism-policy-and-guidelines
post,4692240,Sample School Board Document Organizer,192,2022-07-20,Build and run your board,"Board policies (conflict of interest, nepotism, whistleblower, retention)","Meetings: agendas, minutes, notice, first four meetings; Fiscal policies, audits, and the 990",planning; startup; open,template,False,,"Template for organizing board governance, financial, and compliance documents.",https://connected.wildflowerschools.org/posts/4692240-sample-school-board-document-organizer
post,5233766,Conflict of Interest Policy Template for School Boards,140,2025-12-11,Build and run your board,"Board policies (conflict of interest, nepotism, whistleblower, retention)",Board resolutions library; Radical transparency and wholeness,planning; startup; open,template,False,,Template for adopting a board conflict-of-interest policy and handling teacher-leader disclosures.,https://connected.wildflowerschools.org/posts/5233766-conflict-of-interest-policy-template-for-school-boards
post,5233756,Nepotism Policy Template for School Boards,136,2023-11-29,Build and run your board,"Board policies (conflict of interest, nepotism, whistleblower, retention)",,planning; open,template,False,,Template for a school board to adopt a nepotism policy.,https://connected.wildflowerschools.org/posts/5233756-nepotism-policy-template-for-school-boards
post,4582599,Self Management Policy Template for School Boards,116,2023-02-15,Build and run your board,"Board policies (conflict of interest, nepotism, whistleblower, retention)",Self-management learning series,planning; open,template,False,,Template for a school board to adopt a self-management policy.,https://connected.wildflowerschools.org/posts/4582599-self-management-policy-template-for-school-boards
post,4548413,School Conflict of Interest Disclosure Form,109,2021-12-08,Build and run your board,"Board policies (conflict of interest, nepotism, whistleblower, retention)","501c3 status and the group exemption; Bylaws, EIN, bank account, insurance",planning; open,template,False,,"Annual conflict-of-interest disclosure form for directors, officers, and board-delegated committee members.",https://connected.wildflowerschools.org/posts/4548413-school-conflict-of-interest-disclosure-form
post,4552553,Network Policy: Data Privacy,106,2024-01-12,Build and run your board,"Board policies (conflict of interest, nepotism, whistleblower, retention)","Google Workspace, email, drives, and devices; Network membership and what the Foundation does",planning; startup; open,policy,False,,Network-wide policy governing how member schools handle data privacy.,https://connected.wildflowerschools.org/posts/4552553-network-policy-data-privacy
post,5233769,Whistleblower Policy Template for School Boards,103,2023-11-29,Build and run your board,"Board policies (conflict of interest, nepotism, whistleblower, retention)","Bylaws, EIN, bank account, insurance",planning; startup; open,template,False,,Template for a school board to adopt a whistleblower policy.,https://connected.wildflowerschools.org/posts/5233769-whistleblower-policy-template-for-school-boards
post,5233761,Document Retention Policy Template for School Boards,49,2023-11-29,Build and run your board,"Board policies (conflict of interest, nepotism, whistleblower, retention)","Board resolutions library; Bylaws, EIN, bank account, insurance",planning; open,template,False,,Template for a school board to adopt a document retention and destruction policy.,https://connected.wildflowerschools.org/posts/5233761-document-retention-policy-template-for-school-boards
post,5896518,Board Handbook - Sample,35,2025-11-19,Build and run your board,"Board policies (conflict of interest, nepotism, whistleblower, retention)","Board basics and recruiting members; Board health, reflection, and training",planning; open,template,False,,Sample board handbook template for documenting governance practices and expectations.,https://connected.wildflowerschools.org/posts/5896518-board-handbook-sample
post,4710341,Removing a Director - Sample Board Resolution,1549,2022-05-24,Build and run your board,Board resolutions library,"Meetings: agendas, minutes, notice, first four meetings; Board policies (conflict of interest, nepotism, whistleblower, retention)",planning; open,template,False,,Sample board resolution for removing a director in accordance with bylaws and quorum requirements.,https://connected.wildflowerschools.org/posts/4710341-removing-a-director-sample-board-resolution
post,4710548,Removing an Officer - Sample Board Resolution,775,2022-05-24,Build and run your board,Board resolutions library,"Meetings: agendas, minutes, notice, first four meetings",planning; open,template,False,,Sample board resolution for removing an officer and recording the required vote in meeting minutes.,https://connected.wildflowerschools.org/posts/4710548-removing-an-officer-sample-board-resolution
post,4710581,Granting Signature Authority - Sample Board Resolution,440,2022-05-24,Build and run your board,Board resolutions library,"Fiscal policies, audits, and the 990; Meetings: agendas, minutes, notice, first four meetings",planning; startup; open,template,False,,Sample board resolution naming people authorized to sign school contracts and checks.,https://connected.wildflowerschools.org/posts/4710581-granting-signature-authority-sample-board-resolution
post,5237934,Tips on Writing a Board Resolution,374,2023-12-04,Build and run your board,Board resolutions library,"Meetings: agendas, minutes, notice, first four meetings",planning; startup; open,guide,False,,Practical guidance and templates for drafting formal board resolutions.,https://connected.wildflowerschools.org/posts/5237934-tips-on-writing-a-board-resolution
post,4710526,Dissolving a Committee- Sample Board Resolution,356,2022-05-24,Build and run your board,Board resolutions library,"Meetings: agendas, minutes, notice, first four meetings",planning; startup; open,template,False,,"Sample board resolution for dissolving a committee, with guidance on recording and filing the vote.",https://connected.wildflowerschools.org/posts/4710526-dissolving-a-committee-sample-board-resolution
post,4710599,Secretary's Certificate - Sample for Certifying Board Resolutions,331,2022-05-24,Build and run your board,Board resolutions library,"Meetings: agendas, minutes, notice, first four meetings",planning; startup; open,template,False,,Sample secretary’s certificate for certifying board resolutions when requested by an external entity.,https://connected.wildflowerschools.org/posts/4710599-secretary-s-certificate-sample-for-certifying-board-resolutions
post,4710334,Amending the Bylaws - Sample Board Resolution,289,2022-05-24,Build and run your board,Board resolutions library,"Bylaws, EIN, bank account, insurance; Meetings: agendas, minutes, notice, first four meetings",planning; open,template,False,,"Sample board resolution for amending nonprofit bylaws, with guidance on documenting and filing the vote.",https://connected.wildflowerschools.org/posts/4710334-amending-the-bylaws-sample-board-resolution
post,4710587,Selecting and Approving an Auditor - Sample Board Resolution,240,2022-05-24,Build and run your board,Board resolutions library,"Fiscal policies, audits, and the 990; Meetings: agendas, minutes, notice, first four meetings",planning; open,template,False,,Sample board resolution for formally selecting and approving an auditor.,https://connected.wildflowerschools.org/posts/4710587-selecting-and-approving-an-auditor-sample-board-resolution
post,4789102,Approving Network Membership Agreement - Sample Board Resolution,220,2024-02-06,Build and run your board,Board resolutions library,Network Membership and charter affiliation agreements,planning,example,False,,Sample board resolution approving the Wildflower Foundation Network Membership Agreement.,https://connected.wildflowerschools.org/posts/4789102-approving-network-membership-agreement-sample-board-resolution
post,4530389,Board Resolution to Open a Bank Account,200,2022-02-22,Build and run your board,Board resolutions library,"Bylaws, EIN, bank account, insurance; Bookkeeping, QuickBooks, and chart of accounts",planning; startup,template,False,,Sample board resolution authorizing the school to open a bank account.,https://connected.wildflowerschools.org/posts/4530389-board-resolution-to-open-a-bank-account
post,4710593,Approving Tax Returns / IRS Form 990 - Sample Board Resolution,164,2022-05-24,Build and run your board,Board resolutions library,"Fiscal policies, audits, and the 990; Meetings: agendas, minutes, notice, first four meetings",planning; open,template,False,,Sample board resolution for approving the annual IRS Form 990 and documenting the vote in meeting minutes.,https://connected.wildflowerschools.org/posts/4710593-approving-tax-returns-irs-form-990-sample-board-resolution
post,4710338,Electing a Board Member - Sample Board Resolution,160,2022-05-24,Build and run your board,Board resolutions library,"Meetings: agendas, minutes, notice, first four meetings",planning; startup; open,template,False,,"Sample resolution for electing a new or renewing board member, with guidance on recording the vote and filing signed minutes.",https://connected.wildflowerschools.org/posts/4710338-electing-a-board-member-sample-board-resolution
